#==================================
# IVS source Name Translation Table
#==================================
  # File format      : 26/04/2018
  # Date last revised: 27/04/2018
# Columns      Format             Content
#   1          A8                 IVS source name
#                                 Source name used now or in the past in IVS schedules and databases
#   2          A16                J2000 source name long
#                                 ICRF designations following therecommendations of the IAU Task Group on Designations
#   3          A8                 IERS designations source name constructed from B1950 coordinates

0046+839,                ,0046+839
0048+447,J005136.4+445935,0048+447
0049+003,                ,0049+003
0049+437,J005227.8+440254,0049+437
0046+861,J005232.8+862744,0046+861
0050-287,J005252.5-282554,0050-287
0051-077,J005336.5-072729,0051-077
0051+291,                ,0051+291
0051+679,J005417.6+681111,0051+679
0051+706,J005417.6+705356,0051+706
0052-201,J005432.9-195301,0052-201
0052-125,J005511.7-121757,0052-125
0053-160,                ,0053-160
0053-130,                ,0053-130
0052+781,                ,0052+781
0054+161,J005655.2+162513,0054+161
0054-006,J005717.0-002433,0054-006
0055-016,                ,0055-016
NGC0315 ,J005748.8+302108,0055+300
0055-328,J005802.2-323420,0055-328
0055-059,J005805.0-053952,0055-059
0055-340,                ,0055-340
0055+329,J005832.0+331117,0055+329
0055+060,J005833.8+062006,0055+060
0056-187,                ,0056-187
0056-135,                ,0056-135
0056-572,J005846.5-565911,0056-572
0056-001,J005905.5+000651,0056-001
0055+796,                ,0055+796
0057+101,                ,0057+101
0056+579,J005952.2+581223,0056+579
0056+665,                ,0056+665
0057-338,J010009.3-333731,0057-338
0057+334,J010038.2+334506,0057+334
0057+678,J010051.6+680820,0057+678
0058+058,                ,0058+058
0059-628,                ,0059-628
0058+498,J010116.9+500444,0058+498
0059-287,J010152.3-283120,0059-287
0059+163,J010157.7+163940,0059+163
0101-804,                ,0101-804
0100-760,                ,0100-760
0059+581,J010245.7+582411,0059+581
0100-270,J010256.3-264636,0100-270
0101-649,                ,0101-649
0101-126,                ,0101-126
0101+113,                ,0101+113
0102-245,J010458.2-241628,0102-245
0102+511,J010529.5+512546,0102+511
0102+480,J010549.9+481903,0102+480
0103+057,                ,0103+057
0103+337,J010600.2+340202,0103+337
0103+253,J010610.9+253930,0103+253
0103-021,J010622.9-015538,0103-021
0104-275,J010626.0-271811,0104-275
0103+127,J010633.3+130002,0103+127
0104-035,J010643.2-031536,0104-035
0104-408,J010645.1-403419,0104-408
0104+195,J010652.6+195102,0104+195
0104+321,                ,0104+321
0105+129,J010745.9+131205,0105+129
0105+259,J010747.8+261108,0105+259
0104+650,                ,0104+650
0105-008,J010826.8-003724,0105-008
0106+013,J010838.7+013500,0106+013
0106+130,                ,0106+130
0107-610,J010915.4-604948,0107-610
0106-391,                ,0106-391
0106+315,                ,0106+315
0106+612,J010946.3+613330,0106+612
0105+785,                ,0105+785
0106+678,J011012.8+680541,0106+678
0107-025,                ,0107-025
0107-045,J011030.9-041531,0107-045
0108-170,J011035.5-164827,0108-170
0100+873,                ,0100+873
0108-079,J011050.0-074141,0108-079
0107+562,                ,0107+562
0108-146,                ,0108-146
0108+388,J011137.3+390628,0108+388
0109-135,J011156.8-131701,0109-135
0109+224,J011205.8+224438,0109+224
0109+200,                ,0109+200
0109+351,J011212.9+352219,0109+351
0109+026,                ,0109+026
0110-668,J011218.9-663445,0110-668
0110+318,J011250.3+320817,0110+318
0110-361,                ,0110-361
0110+495,J011327.0+494824,0110+495
0111+021,J011343.1+022217,0111+021
0111+131,J011354.5+132452,0111+131
0112-245,J011457.3-241944,0112-245
0112-017,J011517.0-012704,0112-017
0113-283,J011523.8-280455,0113-283
0113-310,J011546.5-304919,0113-310
0113-118,J011612.5-113615,0113-118
0113+241,J011638.0+242253,0113+241
0114-211,J011651.5-205210,0114-211
